Ensembl.Gene.ID	Tau
WBGene00007063	0.380055557328171
WBGene00007064	0.210892746822793
WBGene00044951	0.50686377265636
WBGene00197051	0.949919219107938
WBGene00199694	0.966627184258472
WBGene00201913	0.966644728334313
WBGene00007065	0.415267551293654
WBGene00007066	0.470873964885529
WBGene00003525	0.72767488716146
WBGene00007067	0.855826636320876
WBGene00007069	0.865647117001229
WBGene00005532	0.958302188220057
WBGene00004964	0.915085574723103
WBGene00077503	0.944501125333924
WBGene00077504	0.876284208057376
WBGene00195634	0.900498053297611
WBGene00199275	0.940795775213453
WBGene00007070	0.55981012431253
WBGene00000024	0.902720471461069
WBGene00004098	0.858663969859313
WBGene00007071	0.843632498482782
WBGene00007072	0.743569495722044
WBGene00007073	0.705691453958233
WBGene00044022	0.875916568312098
WBGene00006428	0.873834320262904
WBGene00004929	0.317914385085249
WBGene00014997	0.930419389989504
WBGene00004054	0.863428128577566
WBGene00043988	0.559119743912533
WBGene00043989	0.501431658420658
WBGene00043990	0.548642361543615
WBGene00007074	0.946767157289772
WBGene00007075	0.639361207435234
WBGene00007076	0.728279848070895
WBGene00007077	0.716892549466015
WBGene00007078	0.734909575211288
WBGene00007079	0.653717586620794
WBGene00007082	0.920338096050655
WBGene00007083	0.792720463194041
WBGene00007084	0.574424071194634
WBGene00007085	0.783655646835207
WBGene00197630	0.952916882208778
WBGene00005032	0.965815677206839
WBGene00007080	0.926429701869949
WBGene00007081	0.926914653087799
WBGene00003231	0.454607511453801
WBGene00014998	0.872589800570986
WBGene00000797	0.55516426409353
WBGene00014999	0.274481134120852
WBGene00015000	0.906599055941564
WBGene00044701	0.770854521496034
WBGene00175029	0.759641718681326
WBGene00003010	0.20569109262647
WBGene00196931	0.96652061017954
WBGene00197796	0.943800988155337
WBGene00200968	0.897836983492075
WBGene00007087	0.603143378126748
WBGene00007088	0.183219251939078
WBGene00007089	0.125252863095927
WBGene00007090	0.225389700724796
WBGene00007091	0.202431289023544
WBGene00007092	0.540013531645951
WBGene00007093	0.262086088937601
WBGene00000138	0.519589188835795
WBGene00007094	0.295643606706576
WBGene00000722	0.866078732918768
WBGene00007100	0.421972881963705
WBGene00007101	0.181100946734596
WBGene00001646	0.426484289103921
WBGene00007102	0.355176564322351
WBGene00007103	0.368251729928907
WBGene00007104	0.836370805580614
WBGene00000723	0.823633103705151
WBGene00007096	0.701191393162393
WBGene00007097	0.884903629578117
WBGene00001533	0.96627548512506
WBGene00000491	0.617536777957865
WBGene00007099	0.320917164449849
WBGene00006932	0.216404146415177
WBGene00000814	0.368403278730648
WBGene00015001	0.249175366774546
WBGene00194700	0.883506981163863
WBGene00200669	0.925678988357842
WBGene00015002	0.760809244289232
WBGene00199321	0.96656968528545
WBGene00199621	0.909566099391971
WBGene00200579	0.966614442362596
WBGene00200808	0.966600316597735
WBGene00202395	0.941122799191194
WBGene00015003	0.966625663828847
WBGene00000403	0.408613643291047
WBGene00015004	0.909887076249973
WBGene00015005	0.876877799799335
WBGene00044394	0.454855336697002
WBGene00197204	0.966628147954618
WBGene00007105	0.132581138471066
WBGene00001919	0.9577270118994
WBGene00007110	0.172877919190837
WBGene00007111	0.351714572001388
WBGene00007112	0.744037603840017
WBGene00001019	0.149904328163183
WBGene00007113	0.310192649198486
WBGene00007114	0.50871028138104
WBGene00044290	0.401893269295429
WBGene00196590	0.947735221698058
WBGene00001020	0.270535609200059
WBGene00007106	0.317694747419761
WBGene00007107	0.279930479767296
WBGene00007108	0.28624470618634
WBGene00007109	0.474841715759824
WBGene00001921	0.956039183348671
WBGene00001922	0.537984629904982
WBGene00015006	0.940557566742893
WBGene00198277	0.966489228399676
WBGene00015007	0.169178299859425
WBGene00015008	0.216991109400555
WBGene00004415	0.169569832726825
WBGene00015009	0.176874157723749
WBGene00015010	0.375476850509619
WBGene00006961	0.237744644301639
WBGene00015011	0.336240337906445
WBGene00045087	0.966645400599518
WBGene00015012	0.934247463861735
WBGene00015013	0.770699312328008
WBGene00015014	0.676062590758792
WBGene00015016	0.804310663811568
WBGene00006646	0.512931758624639
