Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000052456	11.4766666666667	11.18	10.9233333333333	10.8733333333333	10.3	10.255	10.13	10.115
ENSMUSG00000052459	10.885	9.805	9.66833333333333	9.83833333333333	10.0025	10.035	10.3175	10.375
ENSMUSG00000052468	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052479	2.23	2.23	2.23	2.23	2.23	2.24	2.23	2.23
ENSMUSG00000052485	2.23	2.34333333333333	2.37666666666667	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052488	9.35333333333333	9.31166666666667	9.13666666666667	8.84333333333333	8.2225	7.9225	7.4025	6.9675
ENSMUSG00000052496	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052504	2.64583333333333	2.6625	5.65416666666667	8.59166666666667	9.26375	8.52875	7.875	7.37375
ENSMUSG00000052512	2.91125	2.9275	2.87458333333333	3.01458333333333	3.199375	2.921875	2.8925	2.93875
ENSMUSG00000052516	2.23	2.97	2.59	2.69333333333333	7.345	7.7	7.065	7.275
ENSMUSG00000052520	2.23	2.23	2.23	2.23	2.23	2.23	2.23	3.0925
ENSMUSG00000052525	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052533	8.43	8.63666666666667	8.42	8.13	7.53	6.9	6.42	5.945
ENSMUSG00000052534	7.03583333333333	7.7525	7.95166666666667	8.46666666666667	8.6325	8.27	7.54375	7.335
ENSMUSG00000052539	6.23555555555556	6.32444444444444	6.42222222222222	5.97	5.72166666666667	5.75	5.80333333333333	5.97833333333334
ENSMUSG00000052549	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052551	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052557	2.37	2.24666666666667	2.31	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052560	2.45	2.44	2.44	2.44333333333333	2.49166666666666	2.9	3.33666666666667	3.55333333333334
ENSMUSG00000052563	2.34666666666667	2.34111111111111	2.31222222222222	2.29666666666667	2.29666666666667	2.305	2.43666666666667	2.29833333333333
ENSMUSG00000052566	6.08666666666667	3.69	3.07	2.87333333333333	2.72	2.755	2.86	3.35
ENSMUSG00000052572	2.23222222222222	2.23444444444445	2.23555555555556	2.23666666666667	2.275	2.81166666666667	2.89333333333334	2.88833333333333
ENSMUSG00000052581	2.23	2.23	2.23	2.23	2.4525	2.35	2.2325	2.23
ENSMUSG00000052593	8.48	8.58333333333333	8.41	8.30888888888889	7.43166666666666	6.95833333333333	6.925	7.095
ENSMUSG00000052595	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000052605	2.27	2.27	2.27	2.28666666666667	2.27	2.27	2.495	3.095
