Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000023873	5.13765890447484	6.26218733039282	6.10033676924009	5.43059814828073	4.92457765337966	4.92457765337966	4.92457765337966	4.91321259747671
ENSMUSG00000023882	11.3137084989848	6.09094748852911	4.74585053963396	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.99332219560645
ENSMUSG00000023883	343.301733824879	670.146791485254	642.847771752754	550.017355782801	463.845327992014	464.649807522386	388.696417333143	264.110893901148
ENSMUSG00000023885	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	9.81507981803043	144.007486040168	281.111760329485	329.126869308947
ENSMUSG00000023886	19.7666981940309	104.208802253529	57.746702694725	45.7806698379284	415.873226934392	478.541422686883	508.463357663762	588.133557758482
ENSMUSG00000023892	154.343401944417	101.593667325965	83.8651778469352	59.8522398624202	122.785807273634	76.3734875540302	89.5734953980926	88.0346763609436
ENSMUSG00000023902	115.626905701271	26.7846276140303	5.03968419957948	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752
ENSMUSG00000023904	413.955917905848	277.882916371778	299.552832820766	430.041873680431	398.932264786176	436.549064585194	643.590847755176	1318.79078861806
ENSMUSG00000023905	343.698560711748	81.3836266486916	28.9401400819548	16.69873216662	8.2677799991934	14.5959883559199	41.3552905803998	128.667153925309
ENSMUSG00000023906	1867.20765656727	727.431034434037	227.018595625777	102.064216114329	8.11167583832023	8.11167583832023	7.01284577052828	6.40855902071698
ENSMUSG00000023908	300.245747003361	357.880303149828	299.552832820766	263.197139623953	179.768944094464	192.671583668617	166.571757496567	110.277908443138
ENSMUSG00000023909	28.0513830821131	31.3414495227817	30.6256098263649	53.0764509321243	32.6723880226302	33.7075531505548	31.7789598539852	33.9420077237829
ENSMUSG00000023911	41.2122121443144	44.6833877914282	39.6706463980476	72.0869730721643	75.8459373402613	44.7092053840113	31.6690130052866	22.510091250028
ENSMUSG00000023912	5.21339156842453	5.37649759837364	5.40139978467275	5.62643938859786	13.6264073289044	7.43843954090529	5.4076433321125	5.40139978467275
ENSMUSG00000023913	21.0147928940544	130.689552090521	42.1268070221964	26.9709294321503	30.484415937406	65.118700294572	146.017755631158	222.089903910929
ENSMUSG00000023914	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.87364105470077	124.284278315821
ENSMUSG00000023915	138.620805827318	128.89031040726	91.667176605301	78.0683929446532	77.708472601283	74.0280437699384	75.1916210725144	59.0964678866813
ENSMUSG00000023918	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	10.2318846502194	20.4637693004389
ENSMUSG00000023919	630.345939632597	897.64425862762	1105.12971418053	940.097556444387	474.41308768787	445.721888407616	433.533599929614	239.68569534323
ENSMUSG00000023921	84.9704257721283	77.8282612982385	81.5718801484328	75.8751498520724	58.8240142058578	61.6060443585121	76.2853083855093	92.1981991572324
ENSMUSG00000023923	204.128432228658	208.417604507059	192.226931665251	164.278514888052	71.0124462123421	80.7281541652	74.8017439079197	76.9047071697184
ENSMUSG00000023926	4.69133979692752	4.75682846001088	85.0358921021767	168.118343152435	657.114059552207	1546.72392761633	1360.57427363483	264.110893901148
ENSMUSG00000023927	279.708013709022	228.597634831458	238.672558129883	257.582164012512	282.41377847392	241.352841195069	185.893605409063	257.185708646925
ENSMUSG00000023930	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752	4.69133979692752
