Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000090086	2.77021893622185	2.77983643968467	2.77021893622185	2.68204479550687	2.77021893622185	2.77021893622185	2.91298848795283	2.77021893622185
ENSMUSG00000090088	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090100	4.2920493570321	4.77334297212689	5.09824250927705	5.30554148315871	5.60805306264554	5.01934809016216	4.71170756434516	4.29825179660511
ENSMUSG00000090110	10.7405800222421	11.2485463329788	11.1193457587387	11.1837594734322	14.370117966143	13.1546412580351	13.3151797553844	13.5949599862184
ENSMUSG00000090112	3.6553258009176	3.69694436663815	3.75809099685605	3.82466485351545	4.05583791916012	3.85304757608059	3.75028438582844	3.55167605292212
ENSMUSG00000090122	2.36471557205429	2.70694704827449	4.42803512638123	5.89707686916441	7.1230741076489	7.74089296113875	7.24758324987522	10.5013288893901
ENSMUSG00000090125	8.39288414859374	4.08404850282877	3.33649498027906	3.66166548918483	3.44320004055583	2.88785839104499	2.86791049603165	3.28296643524199
ENSMUSG00000090146	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090150	18.7436931119139	16.5738094248141	16.0926870570857	14.6213032036704	12.3590847196732	14.6086402963845	20.1995325227866	29.522643437373
ENSMUSG00000090160	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090164	2.34838128845022	2.37841423000544	2.42838976879009	2.70069989233638	2.43682052735038	2.65737162819302	3.05251841792112	2.54470778919295
ENSMUSG00000090173	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090202	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090203	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090206	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090207	2.28812626585129	2.51838700220643	2.1759820666447	2.18858740252148	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090210	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090211	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090213	5.63402773846115	4.96743124829394	4.75957690557957	4.64281565753488	4.30197756182951	4.15903838469281	3.88052002598635	4.14464920499297
ENSMUSG00000090220	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090225	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090255	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090258	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090262	18.2100965534051	15.4907311357261	14.4867961809335	14.655124644324	13.6658188215248	10.7219841321065	12.0837806845026	12.6625845759817
ENSMUSG00000090263	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090272	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	3.46414663579453	6.69809110875362	18.3632562361338
ENSMUSG00000090273	2.24751903323789	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090278	2.49666109780322	2.53736898764986	2.56388816384146	2.86791049603165	5.52126941358652	4.88209375268063	2.9485384345822	3.63007662126864
ENSMUSG00000090291	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090306	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090314	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	31.8892884104918
ENSMUSG00000090330	8.13983753682149	8.74424202832844	9.03171523844905	9.49170107926788	7.54227628734592	7.34875574177841	7.54227628734592	5.73582099206331
ENSMUSG00000090340	2.17346972505212	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090356	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	9.51365692002177	12.1467630416607
ENSMUSG00000090386	2.54470778919295	2.44952157719488	2.57130366647615	3.31536260153617	11.948436971143	9.95209322638775	6.14217662848033	6.03665771037369
ENSMUSG00000090394	2.18017575772974	2.18185549634964	2.18353652914128	2.17765857419259	2.18353652914128	2.38667148606344	2.83496973444452	2.85633791740634
ENSMUSG00000090439	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090455	2.16595009105185	2.21146130664054	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
ENSMUSG00000090457	2.24233215605702	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185	2.16595009105185
