Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSDARG00000003257	400	1	90
ENSDARG00000003259	400	6	60
ENSDARG00000003270	400	42	20
ENSDARG00000003287	400	131	10
ENSDARG00000003293	400	25	20
ENSDARG00000003307	400	8	50
ENSDARG00000003326	400	4	60
ENSDARG00000003344	400	1	90
ENSDARG00000003373	400	5	60
ENSDARG00000003383	400	2	80
ENSDARG00000003399	400	49	10
ENSDARG00000003411	400	33	20
ENSDARG00000003429	400	2	80
ENSDARG00000003486	400	117	10
ENSDARG00000003487	400	53	10
ENSDARG00000003495	400	6	60
ENSDARG00000003517	400	19	30
ENSDARG00000003519	400	96	10
ENSDARG00000003526	400	53	10
ENSDARG00000003527	400	69	10
ENSDARG00000003553	400	9	50
ENSDARG00000003564	400	77	10
ENSDARG00000003570	400	6	60
ENSDARG00000003573	400	1	90
ENSDARG00000003584	400	12	40
ENSDARG00000003592	400	18	30
ENSDARG00000003599	400	164	10
ENSDARG00000003641	400	3	70
ENSDARG00000003642	400	1	90
ENSDARG00000003675	400	6	60
ENSDARG00000003680	400	1	90
ENSDARG00000003681	400	75	10
ENSDARG00000003693	400	74	10
ENSDARG00000003699	400	5	60
ENSDARG00000003701	400	38	20
ENSDARG00000003732	400	16	30
ENSDARG00000003749	400	11	40
ENSDARG00000003750	400	9	50
ENSDARG00000003757	400	2	80
ENSDARG00000003769	400	5	60
ENSDARG00000003776	400	37	20
ENSDARG00000003789	400	4	60
ENSDARG00000003795	400	23	30
ENSDARG00000003803	400	9	50
ENSDARG00000003808	400	21	30
ENSDARG00000003811	400	6	60
ENSDARG00000003818	400	38	20
ENSDARG00000003820	400	1	90
ENSDARG00000003827	400	2	80
ENSDARG00000003841	400	3	70
ENSDARG00000003845	400	111	10
ENSDARG00000003865	400	8	50
ENSDARG00000003866	400	17	30
ENSDARG00000003877	400	12	40
ENSDARG00000003920	400	8	50
ENSDARG00000003927	400	4	60
ENSDARG00000003931	400	2	80
ENSDARG00000003938	400	97	10
ENSDARG00000003940	400	16	30
ENSDARG00000003963	400	1	90
ENSDARG00000003968	400	21	30
ENSDARG00000003971	400	1	90
ENSDARG00000003974	400	21	30
ENSDARG00000003977	400	18	30
ENSDARG00000003984	400	113	10
ENSDARG00000003998	400	1	90
ENSDARG00000004015	400	3	70
ENSDARG00000004018	400	4	60
ENSDARG00000004023	400	14	40
ENSDARG00000004034	400	1	90
ENSDARG00000004037	400	8	50
ENSDARG00000004059	400	7	50
ENSDARG00000004060	400	12	40
ENSDARG00000004078	400	138	10
ENSDARG00000004105	400	6	60
ENSDARG00000004111	400	8	50
ENSDARG00000004114	400	2	80
ENSDARG00000004115	400	5	60
ENSDARG00000004130	400	11	40
ENSDARG00000004151	400	1	90
ENSDARG00000004161	400	11	40
ENSDARG00000004173	400	23	30
ENSDARG00000004187	400	12	40
ENSDARG00000004196	400	1	90
ENSDARG00000004204	400	10	40
ENSDARG00000004219	400	1	90
ENSDARG00000004232	400	5	60
ENSDARG00000004251	400	23	30
ENSDARG00000004256	400	26	20
ENSDARG00000004261	400	24	30
ENSDARG00000004270	400	4	60
ENSDARG00000004280	400	21	30
ENSDARG00000004296	400	59	10
ENSDARG00000004297	400	3	70
ENSDARG00000004305	400	28	20
ENSDARG00000004318	400	2	80
ENSDARG00000004322	400	1	90
ENSDARG00000004325	400	9	50
ENSDARG00000004336	400	6	60
ENSDARG00000004392	400	4	60
ENSDARG00000004406	400	2	80
ENSDARG00000004415	400	19	30
ENSDARG00000004427	400	5	60
ENSDARG00000004445	400	8	50
ENSDARG00000004452	400	3	70
ENSDARG00000004460	400	1	90
ENSDARG00000004492	400	4	60
ENSDARG00000004517	400	54	10
ENSDARG00000004527	400	4	60
ENSDARG00000004529	400	2	80
ENSDARG00000004537	400	5	60
ENSDARG00000004539	400	24	30
ENSDARG00000004561	400	45	20
ENSDARG00000004574	400	3	70
ENSDARG00000004576	400	20	30
ENSDARG00000004580	400	11	40
ENSDARG00000004581	400	30	20
ENSDARG00000004586	400	39	20
ENSDARG00000004587	400	22	30
ENSDARG00000004588	400	11	40
ENSDARG00000004616	400	43	20
ENSDARG00000004618	400	10	40
ENSDARG00000004632	400	2	80
ENSDARG00000004633	400	21	30
ENSDARG00000004672	400	54	10
ENSDARG00000004680	400	101	10
ENSDARG00000004687	400	27	20
ENSDARG00000004696	400	1	90
ENSDARG00000004697	400	3	70
ENSDARG00000004706	400	5	60
ENSDARG00000004712	400	7	50
ENSDARG00000004713	400	130	10
ENSDARG00000004714	400	1	90
